CustomerID,top_risk_drivers,top_protective_drivers,model_explanation
12361,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12362,"orders_last_30d, trend_orders_30_vs_90, spend_last_60d","recency_days, frequency_orders, orders_last_60d","Main churn-risk drivers: orders_last_30d, trend_orders_30_vs_90, spend_last_60d. Main factors reducing churn risk: recency_days, frequency_orders, orders_last_60d."
12363,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12364,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12365,"frequency_orders, recency_days, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12370,"recency_days, orders_last_60d, frequency_orders","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: recency_days, orders_last_60d, frequency_orders. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
12372,"frequency_orders, orders_last_60d, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12373,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12375,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12377,"recency_days, frequency_orders, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: recency_days, frequency_orders, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12378,"spend_last_60d, frequency_orders, trend_orders_30_vs_90","spend_last_90d, monetary_total, recency_days","Main churn-risk drivers: spend_last_60d, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: spend_last_90d, monetary_total, recency_days."
12379,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
12380,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12381,"frequency_orders, spend_last_60d, orders_last_30d","recency_days, spend_last_90d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, spend_last_60d, orders_last_30d. Main factors reducing churn risk: recency_days, spend_last_90d, trend_orders_30_vs_90."
12383,"orders_last_60d, spend_last_90d, trend_spend_30_vs_90","frequency_orders, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_60d, spend_last_90d, trend_spend_30_vs_90. Main factors reducing churn risk: frequency_orders, spend_last_60d, trend_orders_30_vs_90."
12384,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12386,"recency_days, frequency_orders, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: recency_days, frequency_orders, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12388,"spend_last_60d, trend_orders_30_vs_90","trend_spend_30_vs_90, recency_days, frequency_orders","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: trend_spend_30_vs_90, recency_days, frequency_orders."
12393,"orders_last_60d, recency_days, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: orders_last_60d, recency_days, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12394,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12395,"orders_last_30d, spend_last_90d, trend_orders_30_vs_90","frequency_orders, recency_days, spend_last_60d","Main churn-risk drivers: orders_last_30d, spend_last_90d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, recency_days, spend_last_60d."
12397,"frequency_orders, spend_last_60d, trend_orders_30_vs_90","recency_days, spend_last_90d, trend_spend_30_vs_90","Main churn-risk drivers: frequency_orders, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, spend_last_90d, trend_spend_30_vs_90."
12399,"monetary_total, orders_last_30d, trend_spend_30_vs_90","recency_days, frequency_orders, trend_orders_30_vs_90","Main churn-risk drivers: monetary_total, orders_last_30d, trend_spend_30_vs_90. Main factors reducing churn risk: recency_days, frequency_orders, trend_orders_30_vs_90."
12401,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12402,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12405,"frequency_orders, spend_last_60d, trend_orders_30_vs_90","spend_last_90d, trend_spend_30_vs_90, recency_days","Main churn-risk drivers: frequency_orders, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: spend_last_90d, trend_spend_30_vs_90, recency_days."
12406,"frequency_orders, orders_last_60d, spend_last_90d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, spend_last_90d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12407,"trend_orders_30_vs_90, monetary_total, orders_last_90d","recency_days, trend_spend_30_vs_90, frequency_orders","Main churn-risk drivers: trend_orders_30_vs_90, monetary_total, orders_last_90d. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, frequency_orders."
12408,"orders_last_30d, spend_last_60d, trend_orders_30_vs_90","recency_days, spend_last_90d, monetary_total","Main churn-risk drivers: orders_last_30d, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, spend_last_90d, monetary_total."
12409,"frequency_orders, orders_last_60d, spend_last_90d","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, orders_last_60d, spend_last_90d. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
12410,"recency_days, frequency_orders, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: recency_days, frequency_orders, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12412,"frequency_orders, trend_orders_30_vs_90, monetary_total","recency_days, trend_spend_30_vs_90, spend_last_90d","Main churn-risk drivers: frequency_orders, trend_orders_30_vs_90, monetary_total. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_90d."
12413,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12414,"monetary_total, orders_last_60d, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: monetary_total, orders_last_60d, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12415,"spend_last_60d, spend_last_30d, orders_last_30d","monetary_total, spend_last_90d, frequency_orders","Main churn-risk drivers: spend_last_60d, spend_last_30d, orders_last_30d. Main factors reducing churn risk: monetary_total, spend_last_90d, frequency_orders."
12417,"spend_last_60d, orders_last_30d, trend_orders_30_vs_90","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: spend_last_60d, orders_last_30d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
12418,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12421,"monetary_total, frequency_orders, orders_last_30d","recency_days, orders_last_60d, monetary_mean","Main churn-risk drivers: monetary_total, frequency_orders, orders_last_30d. Main factors reducing churn risk: recency_days, orders_last_60d, monetary_mean."
12422,"monetary_total, frequency_orders, orders_last_30d","recency_days, spend_last_60d, trend_spend_30_vs_90","Main churn-risk drivers: monetary_total, frequency_orders, orders_last_30d. Main factors reducing churn risk: recency_days, spend_last_60d, trend_spend_30_vs_90."
12423,"orders_last_30d, trend_spend_30_vs_90, spend_last_90d","frequency_orders, recency_days, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_30d, trend_spend_30_vs_90, spend_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, trend_orders_30_vs_90."
12424,"frequency_orders, orders_last_60d, trend_orders_30_vs_90","spend_last_90d, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: frequency_orders, orders_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: spend_last_90d, trend_spend_30_vs_90, spend_last_60d."
12426,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12427,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12428,"orders_last_30d, spend_last_60d, trend_orders_30_vs_90","monetary_total, frequency_orders, recency_days","Main churn-risk drivers: orders_last_30d, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: monetary_total, frequency_orders, recency_days."
12429,"orders_last_60d, frequency_orders, trend_orders_30_vs_90","monetary_total, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: orders_last_60d, frequency_orders, trend_orders_30_vs_90. Main factors reducing churn risk: monetary_total, trend_spend_30_vs_90, spend_last_60d."
12431,"spend_last_60d, trend_orders_30_vs_90, orders_last_30d","frequency_orders, orders_last_60d, monetary_total","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90, orders_last_30d. Main factors reducing churn risk: frequency_orders, orders_last_60d, monetary_total."
12432,"orders_last_60d, trend_orders_30_vs_90, frequency_orders","spend_last_90d, monetary_total, trend_spend_30_vs_90","Main churn-risk drivers: orders_last_60d, trend_orders_30_vs_90, frequency_orders. Main factors reducing churn risk: spend_last_90d, monetary_total, trend_spend_30_vs_90."
12433,"spend_last_60d, frequency_orders, spend_last_30d","monetary_total, spend_last_90d, recency_days","Main churn-risk drivers: spend_last_60d, frequency_orders, spend_last_30d. Main factors reducing churn risk: monetary_total, spend_last_90d, recency_days."
12434,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12435,"frequency_orders, recency_days, orders_last_60d","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, recency_days, orders_last_60d. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
12436,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12437,"orders_last_30d, orders_last_90d, trend_orders_30_vs_90","frequency_orders, orders_last_60d, recency_days","Main churn-risk drivers: orders_last_30d, orders_last_90d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, orders_last_60d, recency_days."
12438,"frequency_orders, spend_last_60d, monetary_total","recency_days, trend_spend_30_vs_90, spend_last_90d","Main churn-risk drivers: frequency_orders, spend_last_60d, monetary_total. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, spend_last_90d."
12441,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12444,"frequency_orders, trend_orders_30_vs_90, spend_last_60d","spend_last_90d, monetary_total, recency_days","Main churn-risk drivers: frequency_orders, trend_orders_30_vs_90, spend_last_60d. Main factors reducing churn risk: spend_last_90d, monetary_total, recency_days."
12447,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12449,"spend_last_60d, frequency_orders, orders_last_30d","orders_last_60d, recency_days, spend_last_90d","Main churn-risk drivers: spend_last_60d, frequency_orders, orders_last_30d. Main factors reducing churn risk: orders_last_60d, recency_days, spend_last_90d."
12450,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, recency_days","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, recency_days."
12451,"frequency_orders, orders_last_60d, spend_last_90d","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, orders_last_60d, spend_last_90d. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
12453,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12455,"trend_orders_30_vs_90, spend_last_90d, orders_last_90d","frequency_orders, recency_days, monetary_total","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_90d, orders_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, monetary_total."
12456,"frequency_orders, spend_last_60d, trend_orders_30_vs_90","recency_days, spend_last_90d, monetary_total","Main churn-risk drivers: frequency_orders, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, spend_last_90d, monetary_total."
12457,"orders_last_60d, recency_days, frequency_orders","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: orders_last_60d, recency_days, frequency_orders. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12458,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12461,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_spend_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_60d."
12462,"frequency_orders, recency_days, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12463,"orders_last_60d, monetary_total, frequency_orders","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: orders_last_60d, monetary_total, frequency_orders. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
12464,"monetary_total, orders_last_30d, spend_last_90d","frequency_orders, orders_last_60d, recency_days","Main churn-risk drivers: monetary_total, orders_last_30d, spend_last_90d. Main factors reducing churn risk: frequency_orders, orders_last_60d, recency_days."
12465,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
12468,"frequency_orders, orders_last_60d, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, orders_last_60d, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12471,"spend_last_60d, orders_last_30d, trend_orders_30_vs_90","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, orders_last_30d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
12472,"trend_orders_30_vs_90, spend_last_60d, orders_last_90d","monetary_total, frequency_orders, spend_last_90d","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, orders_last_90d. Main factors reducing churn risk: monetary_total, frequency_orders, spend_last_90d."
12473,"frequency_orders, orders_last_30d, monetary_total","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, orders_last_30d, monetary_total. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12474,"spend_last_60d, trend_orders_30_vs_90, orders_last_30d","frequency_orders, monetary_total, orders_last_60d","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90, orders_last_30d. Main factors reducing churn risk: frequency_orders, monetary_total, orders_last_60d."
12476,"spend_last_60d, trend_orders_30_vs_90","frequency_orders, monetary_total, recency_days","Main churn-risk drivers: spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, recency_days."
12477,"spend_last_60d, spend_last_30d, frequency_orders","monetary_total, spend_last_90d, recency_days","Main churn-risk drivers: spend_last_60d, spend_last_30d, frequency_orders. Main factors reducing churn risk: monetary_total, spend_last_90d, recency_days."
12480,"frequency_orders, trend_orders_30_vs_90, spend_last_60d","recency_days, trend_spend_30_vs_90, monetary_total","Main churn-risk drivers: frequency_orders, trend_orders_30_vs_90, spend_last_60d. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, monetary_total."
12481,"orders_last_60d, trend_orders_30_vs_90","frequency_orders, monetary_total, trend_spend_30_vs_90","Main churn-risk drivers: orders_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, monetary_total, trend_spend_30_vs_90."
12483,"orders_last_30d, trend_spend_30_vs_90, spend_last_90d","frequency_orders, recency_days, trend_orders_30_vs_90","Main churn-risk drivers: orders_last_30d, trend_spend_30_vs_90, spend_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, trend_orders_30_vs_90."
12484,"spend_last_60d, orders_last_30d, spend_last_30d","monetary_total, spend_last_90d, orders_last_60d","Main churn-risk drivers: spend_last_60d, orders_last_30d, spend_last_30d. Main factors reducing churn risk: monetary_total, spend_last_90d, orders_last_60d."
12489,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12490,"spend_last_60d, orders_last_30d, trend_orders_30_vs_90","orders_last_60d, frequency_orders, monetary_total","Main churn-risk drivers: spend_last_60d, orders_last_30d, trend_orders_30_vs_90. Main factors reducing churn risk: orders_last_60d, frequency_orders, monetary_total."
12492,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, spend_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, spend_last_60d."
12493,"frequency_orders, monetary_total, orders_last_60d","trend_spend_30_vs_90, spend_last_60d, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: trend_spend_30_vs_90, spend_last_60d, orders_last_30d."
12494,"orders_last_60d, monetary_total, trend_orders_30_vs_90","frequency_orders, trend_spend_30_vs_90, spend_last_60d","Main churn-risk drivers: orders_last_60d, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: frequency_orders, trend_spend_30_vs_90, spend_last_60d."
12500,"orders_last_30d, trend_orders_30_vs_90, orders_last_90d","frequency_orders, recency_days, orders_last_60d","Main churn-risk drivers: orders_last_30d, trend_orders_30_vs_90, orders_last_90d. Main factors reducing churn risk: frequency_orders, recency_days, orders_last_60d."
12501,"frequency_orders, recency_days, orders_last_60d","monetary_total, spend_last_60d, trend_orders_30_vs_90","Main churn-risk drivers: frequency_orders, recency_days, orders_last_60d. Main factors reducing churn risk: monetary_total, spend_last_60d, trend_orders_30_vs_90."
12502,"spend_last_60d, orders_last_30d, spend_last_30d","monetary_total, frequency_orders, orders_last_60d","Main churn-risk drivers: spend_last_60d, orders_last_30d, spend_last_30d. Main factors reducing churn risk: monetary_total, frequency_orders, orders_last_60d."
12506,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, monetary_mean."
12507,"trend_orders_30_vs_90, spend_last_60d, frequency_orders","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_60d, frequency_orders. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12509,"frequency_orders, monetary_total, recency_days","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, recency_days. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12510,"frequency_orders, monetary_total, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, orders_last_30d."
12513,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12514,"frequency_orders, recency_days, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12515,"frequency_orders, recency_days, monetary_total","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, recency_days, monetary_total. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12516,"frequency_orders, monetary_total, orders_last_60d","spend_last_60d, trend_orders_30_vs_90, orders_last_30d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_60d. Main factors reducing churn risk: spend_last_60d, trend_orders_30_vs_90, orders_last_30d."
12517,"frequency_orders, spend_last_60d, trend_orders_30_vs_90","recency_days, trend_spend_30_vs_90, monetary_mean","Main churn-risk drivers: frequency_orders, spend_last_60d, trend_orders_30_vs_90. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, monetary_mean."
12518,"frequency_orders, monetary_total, orders_last_30d","recency_days, trend_orders_30_vs_90, orders_last_60d","Main churn-risk drivers: frequency_orders, monetary_total, orders_last_30d. Main factors reducing churn risk: recency_days, trend_orders_30_vs_90, orders_last_60d."
12520,"trend_orders_30_vs_90, spend_last_90d","recency_days, trend_spend_30_vs_90, frequency_orders","Main churn-risk drivers: trend_orders_30_vs_90, spend_last_90d. Main factors reducing churn risk: recency_days, trend_spend_30_vs_90, frequency_orders."
